peak#,scan,retention,mass,clusterId,centrotype,membership,clusterId,centrotype,membership,clusterId,centrotype,membership,retentionMean,Qe05965,Qe05948,Qe05949,Qe05950,Qe05951,Qe05952,Qe05953,Qe05954,Qe05955,Qe05956,Qe05957,Qe05958,Qe05959,Qe05960,Qe05961,Qe05962,Qe05963,Qe05964,Qe05966,Qe05967,Qe05968,Qe05969,Qe05970,Qe05971,Qe05972,Qe05973
84,216,1432490,3.23E+08,,,,,,,,,,1430495,5024141,5728881,5911098,5363195,5165162,5218205,5297840,5259000,5152022,4964295,5173720,5108372,5065399,5054566,5128138,4943806,5043378,5222266,4929889,5389116,4989426,4857558,4589958,5392473,5072550,5544778
85,216,1432490,3.24E+08,,,,,,,,,,1434203,1655993,1932875,1986174,1794250,1770131,1747349,1785799,1803516,1748012,1678857,1739036,1681778,1218201,1691460,1713925,1656561,1694217,1760453,1655432,1829814,1652053,1627183,1555489,1872127,1736597,1859075
86,216,1432490,3.25E+08,,,,,,,,,,1434542,1661729,1893753,1959283,1791646,1742043,1696812,1720833,1700609,1709167,1655074,1720334,1676553,1682081,1660069,1687512,1630506,1635385,1705797,1640437,1740821,1092821,1585622,1523044,1800917,1671645,1824823
87,216,1432490,3.26E+08,,,,,,,,,,1430836,347200,389994,415243,368432,359337,344014,364185,356737,365790,353418,359222,341831,351511,343870,362250,322511,351432,358443,337316,387419,336284,325118,325731,371024,359250,368315
88,216,1432490,3.27E+08,,,,,,,,,,1429657,156138,163567,24707.49,166291,25011.95,148435,156344,23079.55,26990.45,143248,153372,151090,24948.78,153275,155317,152125,142560,151517,154899,163401,157273,147438,27129.54,161426,150746,172427
89,216,1432490,4.59E+08,,,,,,,,,,1405860,24693.64,58771,65020,26664.84,26000.15,22673.46,26119.01,24678.16,25398.86,25805.15,25819.76,27473.32,23024.76,27426.35,26649.71,27038.53,55756,59005,25961.17,24174.38,26455.55,25079.8,27359.59,25942.66,24171.59,52742
90,216,1432490,4.71E+08,,,,,,,,,,1443298,83373,94074,88843,23517.16,90794,91820,88074,93190,92483,79833,23899.06,26300.29,94589,79682,87342,79373,83234,26917.59,73519,94951,99128,86758,108283,76246,83966,89324
91,216,1432490,5.06E+08,,,,,,,,,,1432176,234056,252159,289386,247553,226720,27257.79,245073,255409,242929,216484,246274,227731,249703,230477,250307,221319,216893,259548,226851,236506,249524,230577,178716,267392,255107,254327
92,216,1432490,5.22E+08,,,,,,,,,,1439613,83425,78052,76624,69845,96405,85999,95025,99071,87162,90073,95716,56797,100729,69604,82588,27478.55,99762,90920,82999,94550,92424,85806,110667,72378,77207,89372
93,217,1436969,2.02E+08,,,,,,,,,,1468252,377381,236472,256295,356644,335549,339792,328873,336633,353250,355967,350203,351500,335569,372053,358819,372312,22575.06,387181,382673,295590,395576,383531,334429,23306.94,415337,268583
94,217,1436969,4.39E+08,,,,,,,,,,1439474,162685,216616,234715,204958,217835,208759,217895,218721,196288,183189,189661,186876,187310,189725,190726,172150,169342,181746,160966,170641,173081,156465,133571,191408,166355,176775
95,218,1441407,1.11E+08,,,,,,,,,,1374175,65127,26276.5,23559.25,27396.19,23711.4,24337.6,24842.45,63097,23549.82,25758.76,22924.78,27353.45,24028.74,85444,79249,26709.6,76597,23939.23,22500.66,24985.75,23701.34,26168.36,26798.98,27105.99,23069.52,26600.16
96,218,1441407,1.89E+08,,,,,,,,,,1443709,82546,24796.56,24821.32,72556,67549,68176,79508,79485,65359,65229,75647,67617,27068.01,77862,62176,74723,76403,70212,81242,54868,82977,76946,69484,82350,75359,26454.68
97,218,1441407,2.18E+08,,,,,,,,,,1517138,63483,26035.51,25142.9,26032.31,51989,61947,24175.81,25605.63,58508,22651.01,55245,60773,58999,70692,58427,62904,82265,70364,27379.14,26447.95,66872,69099,108946,26845.94,60023,24172.87
98,218,1441407,3.91E+08,3,98,0.999955206,,,,,,,1438999,915375,905013,976933,871667,889341,860299,883462,947437,849379,813581,870179,869829,894636,874260,887840,852153,891059,905928,869555,947127,914609,840501,760212,1021522,934914,1015059
99,218,1441407,3.92E+08,3,98,0.99093025,,,,,,,1436516,510568,492421,512731,479638,458626,450323,472161,499524,469073,453939,472036,467903,495642,461466,511463,476133,487003,507291,481776,528790,508955,466952,417623,566988,497696,533598
100,218,1441407,3.94E+08,3,98,0.960432672,,,,,,,1437069,185161,192604,204948,182559,189412,181090,191833,173320,175376,179112,194450,175272,183338,188300,183984,177406,189564,182293,184177,194455,181067,179541,163277,214489,194242,205013
101,218,1441407,3.95E+08,3,98,0.962136379,,,,,,,1440700,99526,101677,108231,104862,102546,94566,93620,98286,97622,86825,95766,94278,103325,91901,94565,91435,97478,101171,95353,103551,92701,100648,85485,120586,99809,107737
102,218,1441407,4.37E+08,,,,,,,,,,1439406,318151,400420,429457,408559,389999,372035,388727,385997,359155,334112,359483,24797.46,350596,337341,345111,308704,327682,341692,296146,319857,308734,282498,263147,348396,330385,340720
